"id","Time","VE","Fb","VT","PO2","PCO2","ScO2"
"IHLTF02",1219.545,28.11673737,21.81818199,1.158537507,91.22003937,41.35700226,97.0607950892437
"IHLTF02",1222.295,28.12379837,22.14022064,1.14197278,86.44590759,42.20300293,96.5707656940066
"IHLTF02",1225.005,25.62556839,21.85792351,1.053970218,81.67178345,42.7317543,95.9684675483493
"IHLTF02",1227.75,27.27325249,21.58273315,1.136041522,75.444664,43.45085907,94.9584175111941
"IHLTF02",1230.53,29.30723381,21.89780998,1.203200102,70.0478363,43.70465469,93.8031441580725
"IHLTF02",1233.27,30.9590683,20.79722786,1.338277459,66.31155396,43.76810837,92.7985235760557
"IHLTF02",1236.155,33.55480957,22.26345062,1.354958534,62.57528687,43.47201157,91.5769846273363
"IHLTF02",1238.85,40.04983521,21.05263138,1.710243821,59.25415802,42.98555756,90.2634990852199
"IHLTF02",1241.7,43.78569031,22.34636879,1.761525631,55.31031036,42.32990646,88.3526188622879
"IHLTF02",1244.385,45.95030594,20.37351418,2.02761817,54.48003387,41.94920349,87.892759781903
"IHLTF02",1247.33,47.28466415,20.6896553,2.054616451,51.7816124,42.07610321,86.2361937332741
"IHLTF02",1250.23,51.8443718,20.5128212,2.272165298,49.91347885,42.7529068,84.9264910810127
"IHLTF02",1253.155,64.64427948,24.0480957,2.416646481,48.04534149,43.53545761,83.4643580079357
"IHLTF02",1255.65,60.51461411,23.57563782,2.307600021,48.25291061,43.62005615,83.6349081375418
"IHLTF02",1258.195,60.03803635,22.59886932,2.388380289,47.42263031,43.97961044,82.939934294786
"IHLTF02",1260.85,69.02598572,24.39024353,2.544252396,66.51912689,42.90095901,92.8595691801795
"IHLTF02",1263.31,63.39645386,19.1387558,2.977933407,80.63392639,40.76479721,95.8196607166813
"IHLTF02",1266.445,54.75070953,21.69981956,2.268283606,91.42760468,39.91879654,97.0799572064366
"IHLTF02",1269.21,58.06679535,22.01834869,2.370865107,101.5985641,40.08799744,97.8480134973198
"IHLTF02",1271.935,46.65500259,23.12138748,1.814044952,108.0332565,40.29949951,98.2006658343374
"IHLTF02",1274.53,29.12688446,20,1.309265614,110.7316742,40.9551506,98.3258767847698
"IHLTF02",1277.53,36.07236862,22.05882263,1.47013104,113.014946,42.20300293,98.4229912818647
"IHLTF02",1280.25,34.35865402,23.4375,1.317918539,110.9392471,42.35105515,98.3350261829777
"IHLTF02",1282.81,28.22749901,21.12676048,1.201166511,110.108963,43.15475845,98.2980278617585
"IHLTF02",1285.65,30.89440346,21.16402054,1.312336922,98.06987,43.87385941,97.6154494675236
"IHLTF02",1288.485,33.16705704,20.30456924,1.468509912,88.10647583,44.19111252,96.7525465990998
"IHLTF02",1291.44,27.01530266,18.23708153,1.331736207,79.8036499,44.14881134,95.6954424014628
"IHLTF02",1294.73,20.01806831,NA,1.576185465,73.78410339,44.44491196,94.6349373333381
"IHLTF02",1299.985,32.94723892,17.62114525,1.680925965,66.10398865,43.87385941,92.7368139509761
"IHLTF02",1303.39,45.80495071,19.83471107,2.076109409,62.78285599,43.0701561,91.6514381546117
"IHLTF02",1306.415,45.14431381,19.41747665,2.09013319,59.87686539,41.39929962,90.5284019698077
"IHLTF02",1309.505,44.15584564,22.64151001,1.753260851,56.55573654,40.82824707,89.0027148179439
"IHLTF02",1312.155,44.3342247,21.97802162,1.813486218,52.61189651,41.1243515,86.7738420436053
"IHLTF02",1314.885,47.87746048,22.09944725,1.947661281,50.53618622,42.30875397,85.3791215418954
"IHLTF02",1317.6,53.21266556,19.51219559,2.451729774,48.87562561,43.87385941,84.1341676756005
"IHLTF02",1320.675,57.96453476,21.31438637,2.44485569,51.98918533,43.97961044,86.3730598724172
"IHLTF02",1323.49,67.32276917,23.90438271,2.531909466,69.21754456,41.69540405,93.5962103110246
"IHLTF02",1326,63.68925095,26.60753822,2.151915312,81.67178345,39.77074432,95.9684675483493
"IHLTF02",1328.255,46.09204102,23.4375,1.767984152,90.59732819,38.16334152,97.0023106175684
"IHLTF02",1330.815,37.40120316,25.64102554,1.311335802,95.3714447,39.43234634,97.4148701122971
"IHLTF02",1333.155,33.16277695,29.12621307,1.023600698,101.3909912,40.17259598,97.8351805116723
"IHLTF02",1335.215,25.45432091,20.33898354,1.125112534,103.8818436,41.10319901,97.9827876473927
"IHLTF02",1338.165,30.61999893,21.352314,1.289210796,101.5985641,43.36626053,97.8480134973198
"IHLTF02",1340.975,36.63337708,23.80952454,1.383215904,104.2969894,43.11245728,98.0060887673642
"IHLTF02",1343.495,34.58416748,23.07692337,1.347296357,103.0515518,43.32395935,97.9350990936602
"IHLTF02",1346.095,37.91440964,24.89626503,1.369095683,95.3714447,43.23935699,97.4148701122971
"IHLTF02",1348.505,38.50541687,25.36997795,1.364474654,84.99291992,42.77405548,96.4006672057516
"IHLTF02",1350.87,36.80167389,23.4375,1.411627054,78.55822754,42.68945313,95.4999791939257
